home_rank,home_winning_rate,home_winning,away_rank,away_winning_rate,away_winning,temp,insolation,rain,holiday,event,time,target,year,month,MON,TUE,WEN,THUR,FRI,SAT,SUN,LG,DOOSAN,KIA,KT,NC,SSG,LOTTE,SAMSUNG,KIWOOM,HANHWA
2,0.614,-2,9,0.408,-4,26,17.1,0,0,1,1,0.387,2022,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8,0.446,-1,3,0.57,-3,25.6,12.57,0,0,1,1,0.148,2022,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0.621,1,8,0.441,-1,28.2,23.65,0,1,1,1,0.737,2022,8,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2,0.615,2,8,0.447,1,28.1,16.37,0,1,1,0,0.608,2022,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
8,0.442,2,3,0.561,2,25.4,20.42,2,0,1,1,0.129,2022,8,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
8,0.438,2,3,0.565,3,24.8,12.34,0,0,1,1,0.119,2022,8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2,0.607,-1,5,0.505,1,22.2,4.5,2,0,1,1,0.601,2022,8,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2,0.611,1,5,0.5,-1,23.8,19.91,0,0,1,1,0.764,2022,8,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2,0.615,2,4,0.561,-1,21.5,27.09,18,1,1,1,0.642,2022,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2,0.618,3,4,0.557,-2,22.6,24.53,0,1,1,0,0.544,2022,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2,0.622,4,7,0.444,-1,21.7,10.32,0,0,0,1,0.36,2022,8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8,0.432,-2,6,0.452,-3,24,25.02,0,0,1,1,0.262,2022,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8,0.429,-3,6,0.457,1,24.7,24.51,0,1,1,1,0.341,2022,9,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
9,0.425,4,8,0.431,1,24.2,16.39,0,1,1,0,0.552,2022,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2,0.626,-4,1,0.667,1,21,20.76,25,0,1,1,0.544,2022,9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,0.626,1,1,0.667,1,22.8,24.4,0,0,1,1,0.639,2022,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,0.414,2,10,0.319,1,23.2,23.96,0,0,1,1,0.2,2022,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
9,0.419,-2,10,0.317,-1,24.3,23.91,0,0,0,0,0.24,2022,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
9,0.415,-1,5,0.508,4,23.6,18.76,0,1,1,0,0.566,2022,9,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
9,0.42,-2,5,0.504,-1,23.3,10.27,0,1,1,0,0.871,2022,9,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
9,0.417,1,2,0.625,1,24.3,7.38,0,0,1,1,0.286,2022,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,0.421,1,2,0.62,-1,24.6,10.09,0,0,0,1,0.299,2022,9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0.623,-1,4,0.556,-2,25.2,12.29,0,0,1,1,0.405,2022,9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
2,0.626,-1,10,0.331,-1,25.6,11.31,4,1,1,0,0.846,2022,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2,0.621,2,10,0.336,1,27.1,15.9,0,1,0,0,0.707,2022,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
9,0.429,-2,6,0.464,-1,19.9,18.93,0,0,1,1,0.311,2022,9,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
9,0.425,-3,6,0.468,1,19.4,22.18,0,0,0,1,0.197,2022,9,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,0.622,2,7,0.462,3,19.8,17.9,0,0,1,1,0.759,2022,9,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
